# voltage (V), current (A), dIdV (G0)
-1.399999999999999986e-03,nan,nan
-1.397999999999999937e-03,nan,nan
-1.395999999999999889e-03,nan,nan
-1.394000000000000057e-03,nan,nan
-1.392000000000000008e-03,nan,nan
-1.389999999999999960e-03,nan,nan
-1.387999999999999911e-03,nan,nan
-1.386000000000000079e-03,nan,nan
-1.384000000000000031e-03,nan,nan
-1.381999999999999982e-03,nan,nan
-1.379999999999999933e-03,nan,nan
-1.377999999999999885e-03,nan,nan
-1.376000000000000053e-03,nan,nan
-1.374000000000000004e-03,nan,nan
-1.371999999999999956e-03,nan,nan
-1.369999999999999907e-03,nan,nan
-1.368000000000000075e-03,nan,nan
-1.366000000000000027e-03,nan,nan
-1.363999999999999978e-03,nan,nan
-1.361999999999999929e-03,nan,nan
-1.360000000000000098e-03,nan,nan
-1.358000000000000049e-03,nan,nan
-1.356000000000000000e-03,nan,nan
-1.353999999999999952e-03,nan,nan
-1.351999999999999903e-03,nan,nan
-1.350000000000000071e-03,nan,nan
-1.348000000000000023e-03,nan,nan
-1.345999999999999974e-03,nan,nan
-1.343999999999999926e-03,nan,nan
-1.341999999999999877e-03,nan,nan
-1.340000000000000045e-03,nan,nan
-1.337999999999999997e-03,nan,nan
-1.335999999999999948e-03,nan,nan
-1.333999999999999899e-03,nan,nan
-1.332000000000000068e-03,nan,nan
-1.330000000000000019e-03,nan,nan
-1.327999999999999970e-03,nan,nan
-1.325999999999999922e-03,nan,nan
-1.324000000000000090e-03,nan,nan
-1.322000000000000041e-03,nan,nan
-1.319999999999999993e-03,nan,nan
-1.317999999999999944e-03,nan,nan
-1.315999999999999896e-03,nan,nan
-1.314000000000000064e-03,nan,nan
-1.312000000000000015e-03,nan,nan
-1.309999999999999967e-03,nan,nan
-1.307999999999999918e-03,nan,nan
-1.306000000000000086e-03,nan,nan
-1.304000000000000038e-03,nan,nan
-1.301999999999999989e-03,nan,nan
-1.299999999999999940e-03,nan,nan
-1.297999999999999892e-03,nan,nan
-1.296000000000000060e-03,nan,nan
-1.294000000000000011e-03,nan,nan
-1.291999999999999963e-03,nan,nan
-1.289999999999999914e-03,nan,nan
-1.288000000000000082e-03,nan,nan
-1.286000000000000034e-03,nan,nan
-1.283999999999999985e-03,nan,nan
-1.281999999999999936e-03,nan,nan
-1.279999999999999888e-03,nan,nan
-1.278000000000000056e-03,nan,nan
-1.276000000000000007e-03,nan,nan
-1.273999999999999959e-03,nan,nan
-1.271999999999999910e-03,nan,nan
